,correct,questions,responses,rt,time_elapsed,trial_type,worker_id,assignment_id,pid
1,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",20989,131159,survey-multi-choice,A12O9P1OTMJOPW,3W92K5RLWUHPIQGSB9CSB5O1OFUV5G,0
3,"[True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",97527,285707,survey-multi-choice,A12O9P1OTMJOPW,3W92K5RLWUHPIQGSB9CSB5O1OFUV5G,0
14,"[True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",27377,110930,survey-multi-choice,A1F7TXGSWETWX0,3GS6S824SQX6N4M35JDARO71M9WWNH,1
25,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",27580,99339,survey-multi-choice,A1G94QON7A9K0N,3A0EX8ZRN8O8B0S6HUQPLQSNGSKYBV,2
27,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""4"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",43601,196367,survey-multi-choice,A1G94QON7A9K0N,3A0EX8ZRN8O8B0S6HUQPLQSNGSKYBV,2
29,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",10663,222259,survey-multi-choice,A1G94QON7A9K0N,3A0EX8ZRN8O8B0S6HUQPLQSNGSKYBV,2
40,"[False, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my best score on any round""]",55602,219031,survey-multi-choice,A1GVMH6U54ZT8V,30OG32W0SUBC640CKJJ45I01F5RNES,3
42,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",18248,505920,survey-multi-choice,A1GVMH6U54ZT8V,30OG32W0SUBC640CKJJ45I01F5RNES,3
44,"[True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",12684,556654,survey-multi-choice,A1GVMH6U54ZT8V,30OG32W0SUBC640CKJJ45I01F5RNES,3
55,"[True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",87227,177754,survey-multi-choice,A1MV2B8I02QVOE,3LPW2N6LKT2P5BRS6J2NFJMIA7KU5N,4
66,"[True, True, True, False, False, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$1.60"",""At most 10"",""10% of my total score on all rounds"",""The length of the delay is based on how much more money I could have earned by planning and deciding better.""]",8483,331400,survey-multi-choice,A1R3W25JDAUQ09,392CY0QWG1R201SSYXUZROSTGH34IN,5
68,"[False, True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""4"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my best score on any round"",""All of the above.""]",18903,380751,survey-multi-choice,A1R3W25JDAUQ09,392CY0QWG1R201SSYXUZROSTGH34IN,5
70,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",122662,623427,survey-multi-choice,A1R3W25JDAUQ09,392CY0QWG1R201SSYXUZROSTGH34IN,5
81,"[True, True, True, True, False, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my best score on any round"",""The length of the delay is based on how much more money I could have earned by planning and deciding better.""]",49612,171665,survey-multi-choice,A1RG8PCK9V4QP,3QAVNHZ3EM4JSRGFS113W76LPVUALJ,6
