,correct,questions,responses,rt,time_elapsed,trial_type,worker_id,assignment_id,pid
1,"[False, True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$2.80"",""As many or as few as I wish"",""5% of my best score on any round"",""All of the above.""]",29673,210288,survey-multi-choice,A1ISXRQO8ZQKPE,369J354OFDA2JXQBRXNB3AZRXUOG6X,0
3,"[False, True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$2.80"",""As many or as few as I wish"",""5% of my best score on any round"",""All of the above.""]",13681,297798,survey-multi-choice,A1ISXRQO8ZQKPE,369J354OFDA2JXQBRXNB3AZRXUOG6X,0
5,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$2.80"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",12264,360124,survey-multi-choice,A1ISXRQO8ZQKPE,369J354OFDA2JXQBRXNB3AZRXUOG6X,0
7,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$2.80"",""As many or as few as I wish"",""5% of my score on a random round"",""Whether I chose the move that was best according to the information I had.""]",20455,500326,survey-multi-choice,A1ISXRQO8ZQKPE,369J354OFDA2JXQBRXNB3AZRXUOG6X,0
9,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$2.80"",""As many or as few as I wish"",""5% of my score on a random round"",""The length of the day is based on how much more money I could have earned by planning and deciding better.""]",20728,532012,survey-multi-choice,A1ISXRQO8ZQKPE,369J354OFDA2JXQBRXNB3AZRXUOG6X,0
11,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""4"",""True"",""$2.80"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",10903,582514,survey-multi-choice,A1ISXRQO8ZQKPE,369J354OFDA2JXQBRXNB3AZRXUOG6X,0
13,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$2.80"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",10744,608633,survey-multi-choice,A1ISXRQO8ZQKPE,369J354OFDA2JXQBRXNB3AZRXUOG6X,0
24,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",18215,72023,survey-multi-choice,A1OBB3PWYWK9KK,3KRVW3HTZNL7Y5KU9DO9HKFGB5YMSY,1
26,"[True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",12563,133638,survey-multi-choice,A1OBB3PWYWK9KK,3KRVW3HTZNL7Y5KU9DO9HKFGB5YMSY,1
37,"[False, False, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""1"",""False"",""$0.01"",""As many or as few as I wish"",""5% of my score on a random round""]",46268,263143,survey-multi-choice,A24Z8V5IV2VJ8F,3HQUKB7LNFEWGI537MWXL10IL8IHHZ,2
